producto_inei,unidad_medida,año_mes,precio_soles
PAPA HUAYRO,KILOGRAMO,2025-05,4.18
PAPA HUAYRO,KILOGRAMO,2025-06,4.16
PAPA HUAYRO,KILOGRAMO,2025-07,4.08
PAPA HUAYRO,KILOGRAMO,2025-08,4.1
PAPA HUAYRO,KILOGRAMO,2025-09,3.95
PAPA HUAYRO,KILOGRAMO,2025-10,3.97
PAPA HUAYRO,KILOGRAMO,2025-11,4.12
PAPA HUAYRO,KILOGRAMO,2025-12,4.43
PAPA HUAYRO,KILOGRAMO,2026-01,4.72
PAPA HUAYRO,KILOGRAMO,2026-02,4.54
PAPA HUAYRO,KILOGRAMO,2026-03,4.7
PAPA HUAYRO,KILOGRAMO,2026-04,4.62
PAPA HUAYRO,KILOGRAMO,2026-05,4.37
PAPA HUAYRO,KILOGRAMO,2026-06,4.17
PAPA HUAYRO,KILOGRAMO,2026-07,4.12
PAPA HUAYRO,KILOGRAMO,2026-08,4.07
PORO,KILOGRAMO,2023-08,5.75
PORO,KILOGRAMO,2023-09,5.88
PORO,KILOGRAMO,2023-10,5.83
PORO,KILOGRAMO,2023-11,5.45
PORO,KILOGRAMO,2023-12,5.04
PORO,KILOGRAMO,2024-01,5.1
PORO,KILOGRAMO,2024-02,5.39
PORO,KILOGRAMO,2024-03,5.67
PORO,KILOGRAMO,2024-04,6.35
PORO,KILOGRAMO,2024-05,6.05
PORO,KILOGRAMO,2024-06,5.56
PORO,KILOGRAMO,2024-07,5.04
PORO,KILOGRAMO,2024-08,4.31
PORO,KILOGRAMO,2024-09,3.83
PORO,KILOGRAMO,2024-10,3.63
PORO,KILOGRAMO,2024-11,3.81
PORO,KILOGRAMO,2024-12,3.98
PORO,KILOGRAMO,2025-01,4.24
PORO,KILOGRAMO,2025-02,4.73
PORO,KILOGRAMO,2025-03,5.51
PORO,KILOGRAMO,2025-04,6.39
PORO,KILOGRAMO,2025-05,6.1
PORO,KILOGRAMO,2025-06,5.2
PORO,KILOGRAMO,2025-07,4.67
PORO,KILOGRAMO,2025-08,4.85
PORO,KILOGRAMO,2025-09,4.3
PORO,KILOGRAMO,2025-10,3.85
PORO,KILOGRAMO,2025-11,3.9
PORO,KILOGRAMO,2025-12,4.54
PORO,KILOGRAMO,2026-01,4.92
PORO,KILOGRAMO,2026-02,4.96
PORO,KILOGRAMO,2026-03,5.79
PORO,KILOGRAMO,2026-04,6.34
PORO,KILOGRAMO,2026-05,6.39
PORO,KILOGRAMO,2026-06,6.42
PORO,KILOGRAMO,2026-07,5.88
PORO,KILOGRAMO,2026-08,5.74
VAINITA AMERICANA,KILOGRAMO,2023-08,6.09
VAINITA AMERICANA,KILOGRAMO,2023-09,5.81
VAINITA AMERICANA,KILOGRAMO,2023-10,5.58
VAINITA AMERICANA,KILOGRAMO,2023-11,5.43
VAINITA AMERICANA,KILOGRAMO,2023-12,5.24
VAINITA AMERICANA,KILOGRAMO,2024-01,5.25
VAINITA AMERICANA,KILOGRAMO,2024-02,5.56
VAINITA AMERICANA,KILOGRAMO,2024-03,6.98
VAINITA AMERICANA,KILOGRAMO,2024-04,7.69
VAINITA AMERICANA,KILOGRAMO,2024-05,7.35
VAINITA AMERICANA,KILOGRAMO,2024-06,7.23
VAINITA AMERICANA,KILOGRAMO,2024-07,6.5
VAINITA AMERICANA,KILOGRAMO,2024-08,6.14
VAINITA AMERICANA,KILOGRAMO,2024-09,5.7
VAINITA AMERICANA,KILOGRAMO,2024-10,5.59
VAINITA AMERICANA,KILOGRAMO,2024-11,5.55
VAINITA AMERICANA,KILOGRAMO,2024-12,6.13
VAINITA AMERICANA,KILOGRAMO,2025-01,6.26
VAINITA AMERICANA,KILOGRAMO,2025-02,6.2
VAINITA AMERICANA,KILOGRAMO,2025-03,6.22
VAINITA AMERICANA,KILOGRAMO,2025-04,6.05
VAINITA AMERICANA,KILOGRAMO,2025-05,5.86
VAINITA AMERICANA,KILOGRAMO,2025-06,6.36
VAINITA AMERICANA,KILOGRAMO,2025-07,6.78
VAINITA AMERICANA,KILOGRAMO,2025-08,7.0
